name,pop2020
Seattle,738172
Bellevue,151839
Kent,136628
Renton,106763
Federal Way,101019
Kirkland,92755
Redmond,73422
Sammamish,67534
Shoreline,58699
Burien,52004
Issaquah,40102
Des Moines,32838
SeaTac,31325
Maple Valley,28131
Mercer Island,25767
Kenmore,23904
Tukwila,21758
Covington,20888
Woodinville,13493
Snoqualmie,14103
Enumclaw,12634
Lake Forest Park,13625
Newcastle,13159
Duvall,8057
Black Diamond,4856
North Bend,7506
Normandy Park,6757
Algona,3289
Clyde Hill,3133
Medina,2923
Carnation,2164
Yarrow Point,1134
Hunts Point,456
Beaux Arts Village,318
Skykomish,162
Bothell,48161
Auburn,87256
Milton,8697
Pacific,7235
Lakewood,63612
Snoqualmie pass,311
Snohomish,827957
Vashon,10886
Bellingham,91482
Baring,220
Buckley,5114
Everett,110629
Fall city,2032
Gig harbor,12029
Hobart,6767
Lynnwood,38568
Monroe,19699
Mount vernon,35219
Mukilteo,21441
Orting,9041
Preston,322
Puyallup,42937
Ravensdale,555
Spanaway,27227
Sumner,10621
Tacoma,219346
